,Recommended,,Strength
1,"""community"":33042",id:2679835435,5
2,"""community"":33042",id:7445165389,5
3,"""community"":33042",id:7896482671,5
4,"""community"":33042",id:5388921184,5
5,"""community"":33042",id:1962425928,5
6,"""community"":33042",id:8429060304,5
7,"""community"":33042",id:6776319281,5
8,"""community"":33042",id:7473397405,5
9,"""community"":33042",id:4538105802,5
10,"""community"":33043",id:6566228029,4
11,"""community"":33059",id:1714071113,4
12,"""community"":33042",id:5490963524,4
13,"""community"":33042",id:2116094817,4
14,"""community"":33043",id:5554539916,4
15,"""community"":33042",id:5389827609,4
16,"""community"":33059",id:443603926,4
17,"""community"":33042",id:1403538244,4
18,"""community"":33041",id:1512956296,4
19,"""community"":33041",id:7538560072,4
20,"""community"":33042",id:10631969271,4
21,"""community"":33059",id:7941524974,4
22,"""community"":33044",id:8253578191,4
23,"""community"":33041",id:1571763652,4
24,"""community"":33042",id:1377696197,4
25,"""community"":33042",id:6632248007,4
26,"""community"":33042",id:53537374,4
27,"""community"":33041",id:1428324430,4
28,"""community"":33042",id:5944898615,4
29,"""community"":33047",id:1212080396,4
30,"""community"":33041",id:3408691600,4
31,"""community"":33059",id:1390020866,4
32,"""community"":33059",id:2503907433,4
33,"""community"":33043",id:4816586178,4
34,"""community"":33046",id:2070523354,4
35,"""community"":33041",id:772043934,4
36,"""community"":33043",id:1947703893,4
37,"""community"":33044",id:5512693651,4
38,"""community"":33047",id:10141841687,4
39,"""community"":33047",id:4085285962,4
40,"""community"":33042",id:8205962171,4
41,"""community"":33042",id:14810525214,3
42,"""community"":33042",id:1710994282,3
43,"""community"":33042",id:1098753223,3
44,"""community"":33042",id:3110848197,3
45,"""community"":33057",id:220713196,3
46,"""community"":33042",id:1338105858,3
47,"""community"":33042",id:9628404940,3
48,"""community"":33041",id:329452045,3
49,"""community"":33059",id:4070753344,3
50,"""community"":33059",id:1835824365,3
51,"""community"":33041",id:1902722387,3
52,"""community"":33059",id:556266341,3
53,"""community"":33059",id:1580951331,3
54,"""community"":33042",id:3819010313,3
55,"""community"":33055",id:2370744291,3
56,"""community"":33055",id:6237954095,3
57,"""community"":33055",id:2532532298,3
58,"""community"":33042",id:4979491095,3
59,"""community"":33042",id:7766982347,3
60,"""community"":33042",id:1499697869,3
61,"""community"":33042",id:8612717369,3
62,"""community"":33042",id:35619840525,3
63,"""community"":33055",id:6257653008,3
64,"""community"":33055",id:534461069,3
65,"""community"":33044",id:4202205498,3
66,"""community"":33041",id:7582747116,3
67,"""community"":33048",id:6624120871,3
68,"""community"":33055",id:3102597483,3
69,"""community"":33055",id:16985916339,3
70,"""community"":33047",id:1084264239,3
71,"""community"":33044",id:5589876811,3
72,"""community"":33041",id:2445123239,3
73,"""community"":33044",id:4161615282,3
74,"""community"":33055",id:4643665757,3
75,"""community"":33044",id:2040259054,3
76,"""community"":33047",id:2363636164,3
77,"""community"":33044",id:5531341035,3
78,"""community"":33047",id:366182139,3
79,"""community"":33044",id:5732703,3
80,"""community"":33055",id:1688811518,3
81,"""community"":33047",id:1456579558,3
82,"""community"":33044",id:1948899867,3
83,"""community"":33059",id:53264454,3
84,"""community"":33044",id:2154671722,3
85,"""community"":33055",id:3502861610,3
86,"""community"":33055",id:3968787239,3
87,"""community"":33048",id:6303891534,3
88,"""community"":33055",id:5410631715,3
89,"""community"":33055",id:1452567393,3
90,"""community"":33046",id:8043101982,3
91,"""community"":33056",id:1996694884,3
92,"""community"":33044",id:1563251877,3
93,"""community"":33055",id:8375799120,3
94,"""community"":33046",id:6774768978,3
95,"""community"":33055",id:1513004281,3
96,"""community"":33047",id:1438142999,3
97,"""community"":33044",id:5347674256,3
98,"""community"":33055",id:5696781118,3
99,"""community"":33055",id:2090745486,3
100,"""community"":33047",id:1690079572,3
